Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
380000000.0,Mitsubishi,Attrage,2021.0,23000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
410000000.0,Toyota,Vios,2021.0,51000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
885000000.0,Kia,Sedona,2019.0,29000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,MPV,5.0
485000000.0,Mazda,BT 50,2019.0,68000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Pick up,5.0
725000000.0,Hyundai,Creta,2023.0,2000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,MPV,5.0
345000000.0,Suzuki,Swift,2016.0,60000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
555000000.0,Toyota,Fortuner,2015.0,120.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,7.0
418000000.0,Ford,Ranger,2016.0,70000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,Pick up,5.0
1306000000.0,Ford,Everest,2023.0,0.0,Mới,Tự động,Dầu,Thái Lan,SUV,7.0
215000000.0,Toyota,Innova,2006.0,102.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,8.0
438000000.0,Ford,Focus,2018.0,49000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
1250000000.0,Porsche,Cayenne,2011.0,60000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,8.0
650000000.0,Ford,Ranger,2023.0,6000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,Pick up,5.0
565000000.0,Toyota,Innova,2018.0,81000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
655000000.0,Vinfast,Lux A2.0,2021.0,43000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
555000000.0,Toyota,Innova,2018.0,70000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
289000000.0,Vinfast,Fadil,2019.0,12345.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
609000000.0,Vinfast,1083,2021.0,41998.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2.0
288000000.0,Ford,Escape,2012.0,82186.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
1279000000.0,BMW,5 Series,2016.0,73000.0,Đã sử dụng,Tự động,Xăng,Đức,Sedan,4.0
1099000000.0,Kia,Carnival,2021.0,35000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,MPV,8.0
575000000.0,Kia,Sorento,2015.0,80000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV,5.0
349000000.0,Toyota,Vios,2019.0,53000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
665000000.0,Vinfast,Lux A2.0,2021.0,16000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
299000000.0,Hyundai,Grand i10,2017.0,70000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
918000000.0,Ford,Everest,2018.0,39000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,SUV,7.0
585000000.0,Mitsubishi,Xpander Cross,2021.0,14688.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
475000000.0,Ford,Ranger,2017.0,65000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
333000000.0,Mitsubishi,Attrage,2023.0,0.0,Mới,Tự động,Xăng,Thái Lan,Sedan,5.0
345000000.0,Kia,Rio,2015.0,70000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,5.0
458000000.0,Vinfast,VF5,2023.0,0.0,Mới,Tự động,Điện,Việt Nam,SUV,5.0
1149000000.0,Mercedes Benz,GLC,2019.0,75000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
895000000.0,Ford,Everest,2020.0,55000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,SUV,7.0
295000000.0,BMW,3 Series,2008.0,90000.0,Đã sử dụng,Tự động,Xăng,Đức,Sedan,5.0
665000000.0,Vinfast,Lux A2.0,2021.0,18000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
559000000.0,Kia,K3,2023.0,3400.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
618000000.0,Kia,K3,2022.0,17000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2.0
